year,region,area,age_group,sex,value,unit,source
2550,ภาคตะวันออกเฉียงเหนือ,รวม,70-79 ปี,ชาย,304694,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,70-79 ปี,ชาย,127215,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,80 ปีขึ้นไป,ชาย,258021,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,80 ปีขึ้นไป,ชาย,72238,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,80 ปีขึ้นไป,ชาย,185783,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,80 ปีขึ้นไป,ชาย,22829,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,80 ปีขึ้นไป,ชาย,61768,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,80 ปีขึ้นไป,ชาย,59834,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,80 ปีขึ้นไป,ชาย,76861,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,80 ปีขึ้นไป,ชาย,36729,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,60-69 ปี,หญิง,2214746,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,60-69 ปี,หญิง,647635,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,60-69 ปี,หญิง,1567112,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,60-69 ปี,หญิง,216636,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-69 ปี,หญิง,516423,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,60-69 ปี,หญิง,435580,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,60-69 ปี,หญิง,777983,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,60-69 ปี,หญิง,268125,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,70-79 ปี,หญิง,1264504,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,70-79 ปี,หญิง,365400,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,70-79 ปี,หญิง,899104,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,70-79 ปี,หญิง,116142,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,70-79 ปี,หญิง,306764,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,70-79 ปี,หญิง,270040,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,70-79 ปี,หญิง,407669,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,70-79 ปี,หญิง,163889,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,รวม,80 ปีขึ้นไป,หญิง,410973,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,ในเขตเทศบาล,80 ปีขึ้นไป,หญิง,123395,คน,สำนักงานสถิติแห่งชาติ
2550,ทั่วประเทศ,นอกเขตเทศบาล,80 ปีขึ้นไป,หญิง,287578,คน,สำนักงานสถิติแห่งชาติ
2550,กรุงเทพมหานคร,ในเขตเทศบาล,80 ปีขึ้นไป,หญิง,41485,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,80 ปีขึ้นไป,หญิง,107507,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคเหนือ,รวม,80 ปีขึ้นไป,หญิง,80569,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคตะวันออกเฉียงเหนือ,รวม,80 ปีขึ้นไป,หญิง,121285,คน,สำนักงานสถิติแห่งชาติ
2550,ภาคใต้,รวม,80 ปีขึ้นไป,หญิง,60127,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,60-69 ปี,รวม,4780195,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,60-69 ปี,รวม,1608823,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,นอกเขตเทศบาล,60-69 ปี,รวม,3171372,คน,สำนักงานสถิติแห่งชาติ
2554,กรุงเทพมหานคร,ในเขตเทศบาล,60-69 ปี,รวม,486603,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคกลาง(ไม่รวมกรุงเทพมหานคร),รวม,60-69 ปี,รวม,1082657,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคเหนือ,รวม,60-69 ปี,รวม,941187,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคตะวันออกเฉียงเหนือ,รวม,60-69 ปี,รวม,1702834,คน,สำนักงานสถิติแห่งชาติ
2554,ภาคใต้,รวม,60-69 ปี,รวม,566914,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,รวม,70-79 ปี,รวม,2642933,คน,สำนักงานสถิติแห่งชาติ
2554,ทั่วประเทศ,ในเขตเทศบาล,70-79 ปี,รวม,876557,คน,สำนักงานสถิติแห่งชาติ
